Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,5.285388,1.697088,4.957979,1.468616,0,0.000000,0,0.000000,18,0.360000,8,0.160000,144280.640625,0.294923
0,30,38,50,12,0,12,4,12,0,12,4,0,0,30.000860,0.000408,5.205900,1.772858,4.659855,1.391394,0,0.000000,0,0.000000,6,0.157895,5,0.131579,255972.765625,0.147259
1,0,37,50,20,0,20,7,8,0,8,3,7,7,53.585365,16.490828,5.188765,1.805055,4.745543,1.491703,0,0.000000,0,0.000000,1,0.027027,6,0.162162,207963.015625,0.136433
1,30,39,50,36,1,35,12,16,1,15,5,25,18,56.330574,37.604538,4.769825,1.620660,4.208947,1.166203,0,0.000000,0,0.000000,0,0.000000,4,0.102564,176730.468750,0.292361
2,0,18,50,67,1,66,23,31,0,31,11,35,10,69.045280,49.082073,3.139627,0.964317,3.653960,1.203819,0,0.000000,0,0.000000,0,0.000000,1,0.055556,156567.265625,0.554116
2,30,9,50,80,2,78,25,13,1,12,2,39,4,66.268654,50.977200,3.151330,0.811865,2.553191,0.526718,0,0.000000,0,0.000000,0,0.000000,2,0.222222,145468.406250,0.594274
2,59,5,50,87,3,84,28,7,1,6,3,42,3,107.654396,66.140854,3.849361,0.012899,2.351064,0.643067,0,0.000000,0,0.000000,0,0.000000,1,0.200000,261302.046875,0.030847
3,29,7,50,90,3,87,30,3,0,3,2,47,5,100.082153,81.393791,3.853875,0.013030,2.196049,0.596202,0,0.000000,0,0.000000,0,0.000000,1,0.142857,308434.906250,0.006795
3,59,6,50,92,5,87,30,2,2,0,0,48,1,73.459831,54.071186,3.922207,0.151571,2.752660,1.096974,0,0.000000,0,0.000000,0,0.000000,0,0.000000,294414.875000,0.017399
4,29,8,50,93,5,88,30,1,0,1,0,51,3,78.776505,62.838673,3.891489,0.090254,2.543218,1.093982,0,0.000000,0,0.000000,0,0.000000,1,0.125000,282697.718750,0.022573
4,59,7,50,98,5,93,31,5,0,5,1,55,4,105.687706,76.917915,3.853875,0.013030,2.378419,0.658074,0,0.000000,0,0.000000,0,0.000000,0,0.000000,285711.218750,0.021944
5,29,6,50,101,5,96,33,3,0,3,2,57,2,147.871170,78.265396,3.531649,0.722298,2.446809,0.640510,0,0.000000,0,0.000000,0,0.000000,0,0.000000,276223.718750,0.031061
5,59,8,50,102,5,97,34,1,0,1,1,60,3,137.310760,97.626244,3.582114,0.635027,2.287234,0.619744,0,0.000000,0,0.000000,0,0.000000,0,0.000000,266113.031250,0.034297
6,29,9,50,104,5,99,34,2,0,2,0,63,3,145.167786,109.404617,3.435106,0.812487,2.659575,0.604919,0,0.000000,0,0.000000,0,0.000000,0,0.000000,253760.515625,0.039165
6,59,4,50,110,9,101,34,6,4,2,0,64,1,86.275993,76.860962,3.213497,0.820327,2.719415,0.530708,0,0.000000,0,0.000000,0,0.000000,0,0.000000,242167.843750,0.063861
7,29,2,50,114,10,104,36,4,1,3,2,66,2,153.417007,94.654999,3.483377,0.381782,2.380319,0.571809,0,0.000000,0,0.000000,0,0.000000,0,0.000000,236714.703125,0.077245
7,59,1,50,115,11,104,36,1,1,0,0,66,0,88.762001,0.000000,3.101596,0.000000,2.952128,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,238221.921875,0.074315
8,29,1,50,116,11,105,37,1,0,1,1,67,1,118.763000,0.000000,3.101596,0.000000,2.952128,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,236319.328125,0.076144
8,59,1,50,116,11,105,37,0,0,0,0,67,0,148.764008,0.000000,3.101596,0.000000,2.952128,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,234441.218750,0.076144
9,29,1,50,117,11,106,38,1,0,1,1,68,1,178.764999,0.000000,3.101596,0.000000,2.952128,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,232574.156250,0.078217
9,59,1,50,118,11,107,39,1,0,1,1,69,1,208.766006,0.000000,3.101596,0.000000,2.952128,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,230721.265625,0.080730
