Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.920457,1.338204,5.402127,1.110284,0,0.000000,0,0.000000,15,0.300000,11,0.220000,114064.921875,0.775397
0,30,41,50,11,0,11,4,11,0,11,4,2,2,28.738552,5.601932,4.781565,1.386529,5.441748,1.198427,0,0.000000,0,0.000000,4,0.097561,10,0.243902,246841.609375,0.116137
1,0,44,50,24,0,24,11,13,0,13,7,18,16,45.706966,22.636217,4.582646,1.340836,5.323380,1.112738,0,0.000000,0,0.000000,0,0.000000,11,0.250000,182269.312500,0.223213
1,30,29,50,54,0,54,26,30,0,30,15,33,15,63.878513,34.824226,4.453494,1.297546,4.736793,0.910394,0,0.000000,0,0.000000,0,0.000000,5,0.172414,136470.421875,0.471414
1,59,14,50,74,0,74,30,20,0,20,4,38,5,74.627213,47.148819,3.889609,0.814247,4.720745,0.810485,0,0.000000,0,0.000000,0,0.000000,2,0.142857,349271.625000,0.000000
2,29,20,50,75,0,75,30,1,0,1,0,45,7,75.523659,59.082748,3.738777,0.757987,4.898936,0.775466,0,0.000000,0,0.000000,0,0.000000,2,0.100000,349008.343750,0.000000
2,59,24,50,77,1,76,30,2,1,1,0,51,6,81.561501,64.406860,3.814694,0.743745,4.740691,0.816394,0,0.000000,0,0.000000,0,0.000000,5,0.208333,348960.531250,0.000000
3,29,23,50,83,6,77,30,6,5,1,0,56,5,88.595100,70.306808,3.981926,0.681743,4.686632,0.912616,0,0.000000,0,0.000000,0,0.000000,6,0.260870,349568.218750,0.000000
3,59,25,50,90,11,79,31,7,5,2,1,65,9,73.993279,65.501381,4.039989,0.638892,4.706382,1.117692,0,0.000000,0,0.000000,0,0.000000,6,0.240000,349319.812500,0.000000
4,29,26,50,96,17,79,31,6,6,0,0,72,7,64.478119,48.058239,4.124407,0.608514,4.783142,1.098075,0,0.000000,0,0.000000,0,0.000000,7,0.269231,349098.656250,0.000000
4,59,25,50,100,21,79,31,4,4,0,0,75,3,75.863884,42.304665,4.121085,0.548546,4.811702,1.150017,0,0.000000,0,0.000000,0,0.000000,8,0.320000,349420.156250,0.000000
5,30,25,50,105,26,79,31,5,5,0,0,80,5,79.283203,45.452457,4.080011,0.572450,5.025531,1.032887,0,0.000000,0,0.000000,0,0.000000,9,0.360000,349606.875000,0.000000
6,0,18,50,115,35,80,32,10,9,1,1,83,3,75.130165,42.390301,4.018750,0.608076,4.958628,1.049970,0,0.000000,0,0.000000,0,0.000000,6,0.333333,349821.187500,0.000001
6,30,18,50,121,39,82,34,6,4,2,2,89,6,74.713608,55.728897,3.970479,0.463168,4.726655,1.118491,0,0.000000,0,0.000000,1,0.055556,9,0.500000,349785.000000,0.000000
7,0,16,50,125,43,82,34,4,4,0,0,91,2,75.811378,44.752216,3.927693,0.479288,4.768949,1.251510,0,0.000000,0,0.000000,1,0.062500,9,0.562500,349744.218750,0.000000
7,30,21,50,128,45,83,35,3,2,1,1,99,8,65.590958,53.706364,3.762348,0.384219,5.195035,1.070059,0,0.000000,0,0.000000,2,0.095238,13,0.619048,349292.250000,0.000000
8,0,20,50,135,47,88,39,7,2,5,4,105,6,77.480804,53.889053,3.757207,0.394938,5.253989,1.182852,0,0.000000,0,0.000000,1,0.050000,14,0.700000,349699.343750,0.000000
8,30,20,50,139,51,88,39,4,4,0,0,109,4,73.063362,50.319534,3.704547,0.326521,5.469415,1.033623,0,0.000000,0,0.000000,1,0.050000,14,0.700000,349719.250000,0.000000
9,0,19,50,144,55,89,40,5,4,1,1,113,4,71.810776,45.158981,3.777855,0.398950,5.123180,1.165725,0,0.000000,0,0.000000,2,0.105263,12,0.631579,349658.125000,0.000000
9,30,21,50,148,58,90,41,4,3,1,1,119,6,75.153091,56.793697,3.828799,0.410680,5.018996,1.153139,0,0.000000,0,0.000000,2,0.095238,13,0.619048,349677.000000,0.000000
10,0,26,50,151,60,91,42,3,2,1,1,127,8,79.362625,65.009964,3.749713,0.369994,5.255728,1.132263,0,0.000000,0,0.000000,3,0.115385,15,0.576923,349662.125000,0.000000
10,30,22,50,160,64,96,47,9,4,5,5,132,5,88.622589,66.724434,3.762234,0.355644,5.270792,1.009831,0,0.000000,0,0.000000,1,0.045455,13,0.590909,349546.468750,0.000223
11,0,19,50,167,69,98,47,7,5,2,0,136,4,82.197266,67.706589,3.791713,0.373101,5.132979,1.003763,0,0.000000,0,0.000000,2,0.105263,9,0.473684,349661.093750,0.000000
11,30,19,50,170,72,98,47,3,3,0,0,139,3,91.605530,73.375763,3.812500,0.350451,5.181971,0.780859,0,0.000000,0,0.000000,2,0.105263,10,0.526316,349721.531250,0.000000
12,0,16,50,177,76,101,49,7,4,3,2,143,4,108.482635,87.518890,3.728573,0.297919,5.540226,0.907414,0,0.000000,0,0.000000,1,0.062500,9,0.562500,349804.312500,0.000000
12,30,14,50,180,79,101,49,3,3,0,0,144,1,134.934631,98.152565,3.697777,0.272831,5.666793,0.895636,0,0.000000,0,0.000000,0,0.000000,10,0.714286,349897.218750,0.000000
13,0,11,50,186,85,101,49,6,6,0,0,147,3,106.555107,95.300652,3.664095,0.240865,6.262089,0.873758,0,0.000000,0,0.000000,0,0.000000,10,0.909091,349918.812500,0.000000
13,30,9,50,188,85,103,50,2,0,2,1,147,0,134.479660,96.724007,3.672074,0.260947,6.111111,0.898744,0,0.000000,0,0.000000,0,0.000000,8,0.888889,349907.093750,0.000000
14,0,6,50,192,86,106,52,4,1,3,2,148,1,99.494347,46.144970,3.755452,0.295714,6.165780,0.990421,0,0.000000,0,0.000000,0,0.000000,5,0.833333,349900.656250,0.000000
14,30,5,50,193,87,106,52,1,1,0,0,148,0,116.680801,39.622456,3.628191,0.088116,6.542553,0.570415,0,0.000000,0,0.000000,0,0.000000,5,1.000000,349889.718750,0.000000
