Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime (in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Lenght, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent
0,0,50,50,0,0,0,0,0,0,0,0,0.000000,0.000000,5.491287,1.548313,4.893086,1.252222,0,0.000000,0,0.000000,9,0.180000,13,0.260000
0,30,4,62,70,0,70,70,0,70,24,24,9.197751,4.035178,8.031849,0.943543,2.912234,0.970745,0,0.000000,0,0.000000,0,0.000000,4,1.000000
1,0,22,62,80,0,80,10,0,10,52,28,7.856273,5.027724,8.739759,0.465165,2.046663,0.718644,0,0.000000,0,0.000000,0,0.000000,21,0.954545
1,30,46,62,108,0,108,28,0,28,104,52,11.061978,7.770280,8.455701,0.637902,2.632978,1.166080,0,0.000000,0,0.000000,1,0.021739,46,1.000000
2,0,47,62,148,0,148,40,0,40,145,41,14.160594,9.981409,8.738972,0.431353,2.370416,1.109744,0,0.000000,0,0.000000,0,0.000000,46,0.978723
2,30,54,62,183,0,183,35,0,35,187,42,19.187523,10.533181,8.728371,0.640885,2.196119,1.037570,0,0.000000,0,0.000000,0,0.000000,54,1.000000
3,0,69,69,225,0,225,42,0,42,244,57,18.521400,11.874996,8.603759,0.750230,2.395159,1.035576,0,0.000000,0,0.000000,0,0.000000,69,1.000000
3,30,85,86,273,0,273,48,0,48,308,64,19.443436,13.577332,8.585003,0.771456,2.554131,1.243150,0,0.000000,0,0.000000,0,0.000000,84,0.988235
4,0,123,123,307,0,307,34,0,34,380,72,26.828159,14.772722,8.643049,0.682813,2.513623,1.095676,0,0.000000,0,0.000000,1,0.008130,121,0.983740
4,30,156,157,342,0,342,35,0,35,448,68,35.266075,20.694855,8.708149,0.598882,2.536655,0.978592,0,0.000000,0,0.000000,0,0.000000,152,0.974359
5,0,171,177,391,0,391,49,0,49,512,64,40.899483,23.003019,8.755566,0.546035,2.550704,0.898700,0,0.000000,0,0.000000,0,0.000000,167,0.976608
5,30,201,202,424,0,424,33,0,33,575,63,48.759727,28.030422,8.796683,0.481610,2.653621,0.976388,0,0.000000,0,0.000000,1,0.004975,198,0.985075
6,0,228,229,465,0,465,41,0,41,643,68,53.996544,32.615021,8.849219,0.424646,2.558791,0.933829,0,0.000000,0,0.000000,2,0.008772,226,0.991228
6,30,252,253,503,0,503,38,0,38,705,62,60.411289,35.137569,8.825289,0.457778,2.621475,0.985444,1,0.003968,0,0.000000,4,0.015873,250,0.992063
7,0,276,276,534,0,534,31,0,31,760,55,69.652489,39.849419,8.845206,0.401699,2.676633,1.047559,1,0.003623,0,0.000000,4,0.014493,272,0.985507
7,30,301,301,571,0,571,37,0,37,822,62,75.787476,44.342358,8.835187,0.417908,2.628033,1.041312,1,0.003322,0,0.000000,6,0.019934,295,0.980066
8,0,314,314,603,0,603,32,0,32,867,45,87.072723,48.383091,8.849706,0.390080,2.604944,1.037996,1,0.003185,0,0.000000,8,0.025478,310,0.987261
8,30,350,350,636,4,632,33,4,29,936,69,92.461281,56.419804,8.854805,0.374274,2.622189,1.044829,1,0.002857,0,0.000000,4,0.011429,349,0.997143
9,0,350,353,699,48,651,63,44,19,999,63,92.339874,60.992626,8.823058,0.411225,2.693997,1.093485,0,0.000000,0,0.000000,2,0.005714,347,0.991429
9,30,298,353,807,127,680,108,79,29,1055,56,82.201782,56.429897,8.787499,0.427423,2.784700,1.204841,0,0.000000,0,0.000000,1,0.003356,296,0.993289
10,0,270,353,894,187,707,87,60,27,1114,59,70.123207,42.794151,8.785607,0.437708,2.800041,1.252626,0,0.000000,0,0.000000,2,0.007407,266,0.985185
10,30,278,353,967,251,716,73,64,9,1195,81,62.008739,40.019390,8.780683,0.421872,2.765864,1.229923,1,0.003597,0,0.000000,1,0.003597,274,0.985611
11,0,308,353,997,279,718,30,28,2,1255,60,71.254074,43.415382,8.766600,0.450885,2.839616,1.326724,1,0.003247,0,0.000000,2,0.006494,305,0.990260
11,29,327,353,1035,305,730,38,26,12,1312,57,78.091095,45.935982,8.692689,0.534020,2.999791,1.440264,2,0.006116,0,0.000000,4,0.012232,325,0.993884
11,59,359,361,1071,334,737,36,29,7,1380,68,83.970314,50.087822,8.661437,0.565553,3.096443,1.507103,1,0.002786,0,0.000000,5,0.013928,356,0.991643
12,28,384,384,1111,370,741,40,36,4,1445,65,90.581535,55.362720,8.622627,0.618109,3.156999,1.498090,2,0.005208,0,0.000000,7,0.018229,382,0.994792
12,58,322,388,1232,471,761,121,101,20,1504,59,83.415970,56.533543,8.568216,0.656882,3.329510,1.600696,1,0.003106,0,0.000000,8,0.024845,320,0.993789
