Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.784069,1.501742,4.764894,1.475758,0,0.000000,0,0.000000,13,0.260000,11,0.220000,0.000000,0.000000
0,30,59,59,3,0,3,1,3,0,3,1,12,12,25.431128,9.307636,4.466728,1.412038,4.684458,1.417073,0,0.000000,0,0.000000,15,0.254237,16,0.271186,298895.093750,0.012147
1,0,78,78,16,0,16,9,13,0,13,8,44,32,41.274525,23.159019,4.474457,1.432221,4.561512,1.450212,0,0.000000,0,0.000000,11,0.141026,16,0.205128,299157.437500,0.006360
1,30,97,100,31,1,30,17,15,1,14,8,78,34,55.400379,34.329597,4.208804,1.423619,4.406942,1.353960,0,0.000000,0,0.000000,17,0.175258,25,0.257732,288889.812500,0.028607
2,0,122,122,42,5,37,21,11,4,7,4,114,36,65.769211,43.268623,4.119609,1.338991,4.407699,1.329364,0,0.000000,0,0.000000,21,0.172131,35,0.286885,283222.156250,0.003895
2,30,168,168,48,8,40,23,6,3,3,2,166,52,71.478363,52.446545,4.144758,1.291984,4.484707,1.375395,0,0.000000,0,0.000000,35,0.208333,51,0.303571,271979.250000,0.001832
3,0,205,209,67,18,49,29,19,10,9,6,222,56,76.688347,55.766098,4.145412,1.282594,4.478204,1.357175,0,0.000000,0,0.000000,38,0.185366,72,0.351220,275297.625000,0.029576
3,30,230,232,92,26,66,45,25,8,17,16,272,50,88.902184,61.816868,4.094114,1.276524,4.479532,1.385545,0,0.000000,0,0.000000,44,0.191304,82,0.356522,280717.000000,0.021595
4,0,261,262,116,42,74,49,24,16,8,4,327,55,95.191719,68.883934,4.048056,1.256899,4.487140,1.375537,0,0.000000,0,0.000000,55,0.210728,98,0.375479,291778.375000,0.009731
4,30,280,282,148,62,86,60,32,20,12,11,378,51,102.881241,73.199860,4.105700,1.270784,4.473500,1.402481,0,0.000000,0,0.000000,60,0.214286,103,0.367857,322471.781250,0.008385
5,0,295,299,188,93,95,64,40,31,9,4,433,55,107.525291,79.383369,4.156573,1.268652,4.516138,1.378939,0,0.000000,0,0.000000,59,0.200000,109,0.369492,328365.875000,0.012617
5,29,307,307,228,118,110,76,40,25,15,12,485,52,114.786430,85.751633,4.230515,1.276347,4.520929,1.347387,0,0.000000,0,0.000000,56,0.182410,116,0.377850,334003.562500,0.000202
5,59,291,309,292,172,120,86,64,54,10,10,533,48,115.172157,90.574997,4.374111,1.252303,4.507109,1.408011,0,0.000000,0,0.000000,52,0.178694,112,0.384880,326936.937500,0.006494
