Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died by Lack of ATP that were Splitting, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Died in the last 30 Seconds (ATP & Splitting), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime(in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Length, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent, Total Food, Total Poison
0,0,50,50,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,4.845154,1.452939,5.071277,1.309121,0,0.000000,0,0.000000,9,0.180000,11,0.220000,125209.929688,1.618253
0,29,51,52,7,0,7,4,7,0,7,4,8,8,26.955278,7.731825,4.770181,1.447269,4.868064,1.312803,0,0.000000,0,0.000000,4,0.078431,11,0.215686,301779.406250,0.032406
0,59,77,77,11,0,11,7,4,0,4,3,38,30,41.429985,21.911356,4.725152,1.429303,4.805541,1.263586,0,0.000000,0,0.000000,2,0.025974,16,0.207792,224150.578125,0.123946
1,29,117,117,14,0,14,8,3,0,3,1,81,43,51.172848,33.168167,4.638174,1.431632,4.811329,1.267728,0,0.000000,0,0.000000,4,0.034188,25,0.213675,215459.625000,0.019836
1,59,144,144,28,0,28,14,14,0,14,6,122,41,63.151775,41.647774,4.400897,1.379494,4.652964,1.204734,0,0.000000,0,0.000000,5,0.034722,35,0.243056,187138.796875,0.174697
2,29,167,167,53,5,48,22,25,5,20,8,170,48,73.639427,49.247604,4.331368,1.409747,4.516340,1.118206,0,0.000000,0,0.000000,6,0.035928,41,0.245509,194475.671875,0.141452
2,59,175,182,85,6,79,47,32,1,31,25,210,40,95.672386,54.297714,4.288691,1.386966,4.462766,1.122494,0,0.000000,0,0.000000,6,0.034286,41,0.234286,207823.953125,0.178393
3,29,204,204,107,17,90,50,22,11,11,3,261,51,98.099640,66.272003,4.395755,1.406858,4.487119,1.133047,0,0.000000,0,0.000000,8,0.039216,53,0.259804,212494.828125,0.058599
3,59,246,246,122,23,99,56,15,6,9,6,318,57,102.696465,75.204887,4.467532,1.390673,4.493814,1.101398,0,0.000000,0,0.000000,10,0.040650,66,0.268293,270264.312500,0.024991
4,29,304,304,134,33,101,57,12,10,2,1,388,70,103.696716,82.246017,4.517860,1.372229,4.536849,1.104456,0,0.000000,0,0.000000,16,0.052632,80,0.263158,319441.812500,0.008007
4,59,336,336,155,52,103,58,21,19,2,1,441,53,111.673958,86.275223,4.561723,1.363623,4.519852,1.104861,0,0.000000,0,0.000000,20,0.059524,86,0.255952,330856.937500,0.000206
5,29,379,380,171,68,103,58,16,16,0,0,500,59,119.119278,90.001282,4.642965,1.339384,4.493558,1.117453,0,0.000000,0,0.000000,27,0.071240,106,0.279683,343355.406250,0.000000
5,59,393,395,213,110,103,58,42,42,0,0,556,56,125.986595,96.571953,4.798361,1.283278,4.469573,1.136338,0,0.000000,0,0.000000,34,0.086514,112,0.284987,343936.062500,0.000000
6,29,397,401,271,167,104,59,58,57,1,1,618,62,127.967056,100.143669,5.048676,1.166851,4.464735,1.141294,0,0.000000,0,0.000000,41,0.103275,124,0.312343,344588.281250,0.000000
6,59,400,407,330,224,106,61,59,57,2,2,680,62,133.445892,106.586029,5.278412,1.078517,4.450464,1.140706,0,0.000000,0,0.000000,50,0.125000,139,0.347500,344265.500000,0.001583
7,29,370,407,406,300,106,61,76,76,0,0,726,46,134.080994,107.794434,5.497395,0.936556,4.436456,1.134523,0,0.000000,0,0.000000,48,0.129730,135,0.364865,342552.281250,0.000061
7,59,337,407,491,383,108,63,85,83,2,2,778,52,123.033844,99.814583,5.674885,0.853383,4.332183,1.096585,0,0.000000,0,0.000000,46,0.136499,145,0.430267,332140.406250,0.040500
8,29,328,407,564,453,111,65,73,70,3,2,842,64,115.090836,98.972443,5.807547,0.831501,4.267318,1.065186,0,0.000000,0,0.000000,50,0.152439,147,0.448171,331415.218750,0.021085
8,59,320,407,616,504,112,65,52,51,1,0,886,44,114.737633,95.848419,5.888938,0.795180,4.220743,1.028252,0,0.000000,0,0.000000,46,0.143750,146,0.456250,328207.250000,0.020308
9,29,314,407,677,558,119,70,61,54,7,5,941,55,109.181305,89.104111,5.959640,0.772978,4.213729,0.999886,0,0.000000,0,0.000000,37,0.117834,156,0.496815,322972.812500,0.021463
